label,tweet
fear,iya sih cuma takut suara dia jadi rusak atau berubah begitu karena salah teknik
sadness,bapak kos melihat sinema elektronik di ruang tengah bule datang terus bilang menangis terus kenapa indonesia membuat film menangis terus mengapa kira kira
sadness,oh iya ibunya melahirkan anak ke tiga yaitu cewek tetapi tidak tahu tahun berapa berapa nya lanjut yang tadi baru saja satu tahun diberi kenikmatan datang sedang ujian buat sih makmak kali ini mungkin berat dia ditinggal suaminya meninggal seketika ibu itu jadi lajang parent
happy,dulu main telegram niatnya melacak akun akun profesional terorisme lalu coba coba buat saluran dan kini sudah ada subscribers yang ingin gabung ayo kita berteman di sini
anger,buka rekening baru di mandiri ribet harus ada nomor telepon rumah atau kantor terus kalau pekerja di pasar tidak bisa menabung di mandiri dong
anger,jadi pemimpin gubernur harus pikir matang matang menciptakan pekerjaan kembangkan tong sampah buatan indonesia anti bocor dan lain lain untuk dibeli kebutuhan dalam negeri bukan beli impor tong sampah
happy,saat kita sedang euforia begitu sih bapak bilang kalian ini tukang buat masalah pakai nada bapak bapak yang habis marahin anaknya karena meminta jajan tetapi tetap di beli kan
sadness,saya rindu tadi malam sebenarnya tetapi sinyal menghalangiku jadi saya lanjutkan saja siang ini saya rindu
happy,lalu beliau balas sedang apa takut tinggal bicara aja ah sih bapak berlalu dan aku masih terkagum sampai saat ini beliau tidak jahat seperti yang tergambar di rangkaian tweet ku sebelumnya beliau hanya butuh aku dan temenku mengomong beliau ingin tahu masalah kita tuh apa
anger,Suruh ignore tetapi dia sibuk mengurusin juga tertawa sesama perempuan kok saling menjatuhkan
sadness,mungkin ada peneliti yang ingin riset mengapa di partai tertentu banyak yang terlibat korupsi kalau moral sih kurang lebih apakah jumlah yang harus disetor ke partai terlalu besar
happy,he malu banget contoh salah paham dalam cemburu tidak berani duduk bersebelahan ketika ada dia dan kamu mikirnya tuh kan kenapa sih tidak ingin bersebelahan pasti biar tidak dikira menempel terus sama aku hehe padahal karena sebelah mi sudah ada teman yang lain
anger,tidak bisa tidur malas bongkarin tidur pakai jeans berharap segera pagi
fear,cuma ingin menunjukkan ini kakak kalau lini masa saya yang begini kamu samakan sama mereka yang tergugah isu isu busuk politik dan saya bisa bilang apa sedang
love,seseorang pernah bertanya padaku seperti apa cinta itu cinta itu seperti sekepal jantung ku yang tidak bisa melupakan degup sebentuk paru paruku yang tidak bisa meninggalkan udara dan seperti saya yang tidak bisa kehilanganmu us
sadness,kasihan yang sudah mengincar sekolahan pakai usaha belajar dan nilai iya sakit hati kalau nilai bagus tidak apa apa seharusnya ada evaluasi bagi yang sakit hati tetapi tidak sesuai target nilai dimutasi begitu kenapa sekolah tidak pakai sistem mutasi
happy,teman sama saya nih berhubung dia sedang tidak punya pacar baru hari makanya mengganggu orang barangkali ada yang ingin kenalan dia bilang kemarin kalau dia ingin cari pasangan yang bisa mengertiin tugasnya he
anger,x jangan bodoh bodoh sangat bos ditertawakan kirik nu itu nahdlotul ulama kyai staquf pengurus nu cebong benci islam hello cebong
sadness,seperti katak dalam tempurung kepercayaan tinggi terhadap hegemoni ilmu sains dan teknologi sebagai solusi pragmatis apolitis dari beragam permasalahan di indonesia adalah suatu bentuk dogma sila google scientism sila google arogansi alumni itb eh
anger,ini sudah masuk ke proses penjualan tetapi pas di buka detail kok bahkan begini apakah produk sedang diproses atau diproses tanggal
anger,saya juga ingin marah membaca komentar komentar netizen yang memabahkan iya Tuhan tidak habis pikir komentar komentar seperti ini yang buat kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rata rata yang komentar jahat adalah perempuan mbak mbak kesehatanmu loh
anger,kamu ingin bicara apa kayaknya kamu dendam kepada anies pernah disakiti oleh gubernur anies salah apa anies kepadamu kenapa dendam kamu kelompok dki yang tidak punya gubernur anies bukan pada tempatnya kamu mencaci caci anies salah
anger,orang yang suka memaksa juga membuat tidak nyaman dari awal sering sekali kalau bicara pakai kata harus sekarang yang buat dia harus belum tentu penting kan buat kita lagian kenapa juga harus selalu sekarang menggaji saja kita belum tentu boleh memaksa iya by
love,percaya saja kalau Tuhan punya rencana baik toh setiap orang pernah berbuat kesalahan yang penting bagaimana cara agar tidak mengulang hal tersebut
anger,dunia ini memang keras kalau menghadapinya dengan lembek iya tidak usah hidup
sadness,kadang secapek itu juga membuat tahan hati untuk tidak menyalahkan diri sendiri dan menghina diri ini super bodoh dan mental tempe tahu risol berasa gorengan yang ampas ampas begitu tetapi tidak boleh karena bagaimana pun juga diri ini sudah bekerja keras berusaha
love,satu sedang kalian dua akun base yang paling saya sayang yang paling bisa mengingatkan satu sama lain dan makasih banyak buat admin adminnya i cinta kamu i cinta kamu i cinta kamu i purple kamu
happy,cuitan salam saum kita harus bangga kembali meraih opini wajar tanpa pengecualian dari badan pemeriksa keuangan tahun keberhasilan ini merupakan kerja keras kita semua untuk mewujudkan kementrian pertanian yang bersih berintegritas serta berpihak kepada petani
anger,apa siap tanggal ulum sunguh menyeramkan kenapa tidak langsung naik kelas saja sih ribet sangat mesti ada ulum
happy,habis take away beberapa menu tulung agung pasar baru sebelumnya tiap kemari dapy selalu makan rawon doang tetapi ini menyicipi makanan berbeda sekaligus nasi pecel sama campurnya enak
anger,anak nevolone marah karena anton
anger,tidak perlu banyak berandai andai hidup di dunia real tidak seperti di film radit and jani gunakan pola pikir yang logis saja sekarang sih
sadness,begitulah mulai perkenalan dari awal itu menjelimet belum pertanyaan pertanyaan menyebalkan yang harus sekali di jawab iya kalau lanjut kalau tidak iya sia sia kan
anger,ingin tahu rayuan cowok kadal tertawa kamu cantik kok belum ada pacar sih kamu suka lagu apa nanti dinyanyikan nanti lagunya saya mainkan di spotify kamu tuh manis deh bibir nya saya suka bibirmu begitu lah sudah basi
anger,tetapi kemarin rasanya memang benci banget gegara masuk kamar ada foto dia sebell flashback minggu menonton lihat meme
anger,omongny sih ayo kita sama sama sampai windu sedang atau lebih tetapi giliran sekarang di obrolan tidak balas di telepon di tolak di ajak ketemu bilang sibuk pokoknya ada deh jutaan alasan bullshit nya kalau ingin menghindari itu bilang saja sih tidak usah begitu klasik sekali anjing
sadness,jadi jika hari ini kita dihukum atas kesalahan kemarin ikhlas saja karena buat penghujatmu akan ada hari besok giliran dia terima konsekuensi atas kedzalimannya insya allah
anger,sejak dulu kala tidak pernah tertarik dengan acara acara sejenis ini acara cuma tertawa tidak mencerdaskan buang buang waktu tidak bermanfaat kok tidak malu iya buat acara seperti itu
happy,alhamdulillah di tempat kami tempat belanja lokal bahkan jauh lebih murah dan lengkap dari lapak sebelah tidak usah disuruh sudah saja semua ke sana usaha yang ihsan dan rapi harusnya milik punya orang islam
happy,baru tahu kalau setiap edisi itu tidak cuma di upload lengkap ke youtube tetapi juga ada versi pecahannya yang sudah di cut per film lumayan nih untuk menghemat waktu dan kuota juga karena durasinya paling lama hanya menit
happy,kala mudik balik ke surabaya logistik bahan pangan lengkap apalagi habis panen bakal tidak beli beras sampai beberapa bulan alhamdulillah nikmat nya pulang kampung
sadness,balik ke rumah badan jadi melar sedang coba saja di kosan makan buah untuk buka saja juga sudah cukup percuma deh menurunkan berat badan di perantauan balik nya menimbun lemak sedang
sadness,minimal akhir akhir ini kualitas sinyal internet telkomsel di tempat saya desa Desa Mlaran kecamatan gerbang kabupaten purworejo kok menurun iya yang tadinya tidak jadi h jadi ingin browsing buka sosial media lambat sekali kasus ini juga di alami sama tetangga saya mohon informasi
happy,terima kasih aji selamat ulang tahun
love,untuk cinta yang telah hadir ingin ku berikan yang terbaik cinta yang bukan hanya karena allah tetapi juga cinta yang selalu bersama allah cinta yang terakhir cinta yang tanpa akhir cinta yang sampai surga
sadness,kayaknya habis ini mataku harus dimandiin pakai abu biar suci karena habis melihat adegan yang tidak senonoh di mcdonald si yang tidak lain adalah adegan orang yang saling bermesraan di depan mata hukumuu
sadness,puasa tahun ini terasa sekali kurang khusyuknya shalat tarawih sama mengaji bisa di hitung jari berapa kalinya padahal belum tentu tahun depan bisa merasakan sedang
love,saya rela pergi pagi untuk menemui mu saya rela pulang malam untuk menemanimu jangan tanya alasannya semua datang tiba tiba kita jalani saja yang penting sayang saya selalu ada untuk mu tidak perlu sedang kamu ragu yang penting sayang cintaku hanya untuk mu
happy,oh buat muka wkwk kalau muka itu biar tidak kusam kadang pakai tabir surya saja setiap keluar sering yang membuat kusam bahkan itu sama pakai pelembab saja pakai hadalabo saja sudah bagus
anger,paling menyampah orang suka membandingkan saya dengan orang lain dia dia saya aku tidak suka boleh pergi lah
anger,gap sudah hitam manis laku pula daripada cuma mengaku ngakuin pacar orang iya
happy,yuk kita siap siap untuk beritikad di malam sepertiga terakhir mudah mudahan kita mendapat malam bulan karena tahun depan belum tentu ketemu sedang dengan bulan yang penuh maghfirah
love,sayang banget bangga banget besok giliran saya yang memamerkan ijazah kelulusan iya dan banggakan kalian walaupun tidak secara langsung sukses terus iya mas mas ayo berjuang bareng
happy,alhamdulillah iya allah makanya jangan kasih kode kalau mah mengkode spesifik langsung taut kamu aku kamu aku saya kan terpancing
anger,idealnya memang komisi pemberantasan korupsi harus meningkatkan status ganjar dari saksi menjadi tersangka agar kecurigaan bahwa dia dilindungi oleh kekuasaan bisa terhapus dan kpk pun bisa dipercaya sedang
anger,mubalig versi menteri agama sudah disiapkan bahan ceramah harus sesuai dengan menteri agama lucu juga ceramah terkendali jika para mubalig menolak menteri agama mundur iya dong kalau punya harga diri
sadness,sudah di anjurkan Suruh buka hati ke cowok pelan pelan saja kata mereka jangan cuek banget belum temu yang cocok bagaimana dong sedang saya sedang senang begini lihat yang pacaran memang pengin tetapi pas lihat mereka bertengkar jadi malas
love,sahabat aku ada di karakter tuh saya polos tetapi dia baik banget care banget lucu pintar juga sayang dia
fear,tetapi karena pengalaman saya yang minimum takut orang orang sudah tidak percaya duluan sudah semester atas terus pas open recruitment kan biasanya yang wawancara sudah anak angkatan bawah suka minder begitu wah iya sudah sekalian mutualan yuk saya butuh positive people sek fear
fear,terlepas dari agama tetap saja tidak ingin operasi plastik banyak masalahnya hasilnya kadang tidak bagus dan terlihat tidak natural begitu karena tidak cocok dengan bagian wajah yang tidak dioplas jadinya takut menyesal nanti bisa kecanduan dan merombak semua jadi monster plastik dong
sadness,dulu pernah belajar kalau sudah suka sama orang susah buat lihat kejelekannya dan kalau sudah kesal iya kesal saja sekarang kayaknya hampir semua kayak begitu rakyat mulai tidak bisa mengapresiasi pemimpinnya apalagi pemimpin yang dibencinya dan juga sebaliknya
anger,iya apa salah dia sih mbak dishare ulang post an mu itu di grup sudah tenggelam jauh kirim foto ini foto itu tahu sendiri kan gregetan saya itu mbak karo kau
anger,sering sekali saya digantungin pas ketemu apsara sedang kok perawatannya semakin banyak semakin gendut saja sih wah senyum saja iya mengiyakan saja dalam hati banyak bicara kamu anjing
happy,kakak sedang belajar buat ujian apa sudah istirahat tidak niat muncul bilang makasih sketches hari ini lucu begitu atau apalah jangan pelit muncul iya tertawa kalau sedang belajar semangat iya mempersiapkan camilan jangan begadang adik
anger,di atas langit masih ada langit tetapi bagi saya kepentingan politik luar negeri harus pragmatis mendukung kepentingan domestik bukan sekedar sentimen negara donor terbesar palestina seperti kemana turki dan arab kenyataan yang harus anda pelajari
happy,pelayaran aman selamat tertib dan nyaman pastinya repost mudik bareng guyub rukun kawulamoda lebaran
love,kalau kamu sayang seseorang ingin tidak kamu menunggu dia sampai tahun kasih alasan karena susah jatuh hati kalau satu iya sudah satu saja
anger,ayo viralkan adu mengaji jokowi yang katanya tukang kriminalkan ulama versus prabowo calon dari rizieq dan kawan kawan calon yang didukung partai allah ngakunya buat prabowo jangan pura pura tuli iya dengar tuh tantangan jika
happy,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anak anak yatim piatu bulan bung karno junibulanbungkarno penyambung lidah rakyat indonesia nomor untukjatim jawa timur pilih gus ipul puti kabehsedulurkabehmakmur h
love,semangat sayang saya juga menunggu anak kita yang akan lahir tertawa exo ingsoon exo exoplanet kami adalah satu exo
fear,minimal ingin tanya misal ada kesalahan buku pajak seharusnya ppn tetapi ternyata pajak penghasilan minyak bumi seperti gambar berikut solusi nya bagaimana
happy,selalu bahagia di kelilingi orang orang baik orang tua yang baik keluarga yang baik pasangan yang baik teman yang baik ternyata ada nikmat lain yang lebih indah dibandingkan materi yaitu di kelilingi oleh orang baik terima kasih banyak yang maha baik
sadness,baca balasan iim jadi pikir sedang menabung bulan ini untuk menetapkan target menonton persib dan membeli kaos jersey original bulan depan tidak memikirkan masa depan ketika sudah tidak ada ayah tidak mungkin meminta kepada kakak yang sudah memiliki keluarga tidak enak dengan istrinya h pikiran aku dangkal sekali hehehehe
anger,kagak kemarin kemarin saja _ payah tuh bocah
love,cantik summer ini bandung bandung cikutra ensenangbandung payingrespect
sadness,kalian tidak sadar bahwa ada banyak sekali orang dalam bus sewaktu kita kemarin menuju ke istana kalian bahkan tidak mengajak mereka berkenalan berbeda dengan hari hari sebelumnya coba pikirkan mereka juga gugur namun mereka menikmati perjalanan kemarin
fear,semoga semakin paham dan semakin takut kepada allah swt saya berlindung kepada allah swt dari godaan setan yang terkutuk
love,karena cinta yang sesungguhnya berasal dari hati dirasakan oleh hati diungkapkan lewat hati yang diterjemahkan ke dalam setiap bait puisi
happy,selamat ulang tahun istriku tersayang yulyyanti armal prasetiyo semoga panjang umur sehat selalu rezekinya lancar tetap menjadi istri yang salihah mendapatkan kemuliaan di
anger,umur tahun omongan kayak tante tante tahun _ saya lebih suka sama bocah sd yang masih culun dan polos
love,bibi esta oh my Tuhan kesayangan saya banget bibi baik banget sayang bibi wkwkwkwk bibi asik banget perhatian banget ah sayang sekali menangis sama bibi tiada kata yang mampu mengungkapkan rasa sayangku padamu
happy,cita cita kecil petani lulus sd dokter apoteker lulus Sekolah Menengah Pertama perawat psikiater fashion designer lulus sama ahli gizi desainer interior ahli desain grafis lulus kuliah semua cita cita terkabul
happy,the terbaik dari dongeng sebelum tidur makasih kakak perempuan me purple kamu Tuhan bless kamu makasih sudah buat kopi tambah dan bawa perasan malam malam makasih sudah buat saya cinta sedang sama couple ini disaat saya sudah ingin move on makasih sudah buat keinginan punya pacarku muncul sedang makasih may allah always bless kamu amin
love,pantas ada notifikasi di facebook hari ini tahun yang lalu video ini membuat saya semakin yakin jatuh cinta pada pandangan pertama sama dia awalnya adik gemas demam melanda
anger,beuh muter line jakarta cikarang jangan ditanya sedang penuhnya sesak saudara laki-laki petugasnya kemana penuh sesak begitu mah tidak bisa jalan ke sana kemari kalau begitu petugasnya lapor bagaimana kalau ada pelecehan hajar saja di tempat iya pelakunya buat ramai dulu
sadness,setelah mual mual karena terlambat buka puasa akhirnya sampai rumah juga setelah hampir jam keliling sama abang grab keliling kampung karena dia tidak ingin lewat tol
happy,habis sahur shalat subuh balik tidur sedang bangun jam dan sampai ruangan jam kurang menit sepertinya saya harus mengapresiasi diri sendiri karena dapat mandi seragam pakai bedak dan lipstik dan berjalan dalam waktu menit
happy,pasti banyak yang belum membaca manga dan merasa kalau ini remake amerika seperti power marah yang baru di rilis kemarin padahal manganya mantap saudara laki-laki dan memang sejujurnya seperti thor dipakaikan baju iron man
sadness,andai indonesia malaysia tidak perlu guna paspor malam ini saya sudah sampai malaysia sedang itulah hidup selalu dihadapkan dengan pilihan ingin tidak ingin salah satu harus direlakan
sadness,muka cemberut don t menjadi sad baby
anger,memohon help cara leave whatsapp grup yang isinya cuma orang teman dekat kampus tidak dekat juga i sama faking itu mereka sangat toxic dan meniru segala yang kulakukan
love,kalau pasangan sedang sakit rewel atau bad mood kasih dia perhatian kasih sayang yang lebih
happy,akan ada satu hari kamu yang ikhlas di hujat fitnah adu domba melangkah ringan di hari perhitungan karena hukuman di terima di dunia dengan semua ikhlas terima kejahatan mereka padamu dan urusan mereka biar allah yang atasi saja
love,yang mencintaimu sebisa ku entah itu sebisanya saya menjagamu dengan cara yang seperti apa atau sebisanya saya menjagamu dengan cara yang bagaimana
anger,mengurusi neraka orang sampai buat hashtag calon penghuni neraka sedangkan sholatmu masih bolong bolong al quranmu masih tersimpan rapi di almari dan uangmu masih belum berkurang untuk sedekah pikir dong
anger,hidup di zaman sekarang ini kalau hanya ingin dipanggil ustadz saja gampang berpakaian muslim pakai kopiah putih apalagi bersorban dengan rapi berani bicara dengan sedikit menghafal ayat terjemahan sudah di anggap penceramah dan tidak sebut ustadz tidak perlu mondok bertahun tahun
sadness,karena mereka tidak mengenal rasa tanggung jawab mungkin pas di sekolah suka nya juga mengkritik gurunya makanya terbawa ke media sosial
anger,akibat jika tidak ada uangmu yang tidak terlihat orang pun cuek dan pura pura tidak kenal jangankan manusia iblis pun tidak ingin lihat kamu dan kebanyakan sifat manusia melebihi iblis serakah dan rakus jadi selalu lah diam dan tenang agar tidak dinilai dengan uang nasihat
anger,rumor seperti ini umpatan apalagi bagi partai oposisi untuk mencela citra sosok presiden ir h joko widodo tidak sekali deh kamu
happy,sudah ah semakin melantur wkwk pokoknya niatkan untuk tidak pakai bulu mata palsu jangan khawatir bakal ada rintanga ini itu yakin saja kalau niat baik pasti allah bantu semoga segala niat dan langkah baik kita termasuk meninggalkan bulu mata palsu ini allah kasih ganjaran surga iya
sadness,ini dia sih pembuat sembab berpasang pasang mata setelah melihat pertunjukkan boneka
anger,aduh mending belajar baca dulu deh sebelum komen status orang biar tidak salah arti tuh tertawa malu loh asal komen tetapi salah wkwkw
anger,berniat busuk banget teman kok kamu begitukan saya busuk nih terus sadar sudah meminta maaf tidak dimaafkan nih iya sudah terus saja saya busuk dan tidak pernah bisa di fermentasi ke hal baik sedang makanya sekarang biarinlah saya hidup bergelimang karma dari kalian
fear,di kostan saya sering muncul saya sama temanku selalu mematikan tetapi muncul sedang dan akhirnya yang terakhir kita bakar sampai sekarang tidak pernah muncul sedang takut sekali sama ini sumpah
love,too banyak camera tapi look hahaha by the way bahagia tahu anniversary sayang tahun yang sangat sabar dan semoga kita sentiasa di rahmati allah swt selalu cinta kamu
sadness,sumpahnya melihat blackpink jadi ingin punya rambut panjang sedang menangis tetapi sampai kapan pun rambut panjang saya tidak akan mirip mereka heft
fear,jadi seperti kebalik begitu dulu media sosial jadi pelarian bagi saya untuk mengekspresikan kegilaan sekarang karena media sosial jadi lebih menakutkan dari dunia nyata eh jadi dunia nyata yang saya jadikan pelarian dari media sosial
happy,ini adalah kisah masuk presiden jokowi yang saya mengikuti di mana beliau mendatangi masyarakat menyalami mereka bertanya dan mendengarkan yang mereka rasakan menindaklanjuti kepada pihak terkait sehingga satu per satu masalah bisa diselesaikan jokowisekalilagi
