Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Cleaned_Traditional,Translated_Cleaned_GPT,Translated_Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa di melecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang saya a dan i t a addeh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu tidak merasa dilecehkan amat, malah mau naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita Aduhh, sudah jadi korban, sesama wanita pula. Padahal normalnya harus saling dukung, saling empati.",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa dilecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita aduh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,The sad thing is that there are those who think that Via Vallen does not feel that it is harassing it even wants to go up in order to achieve the viscosity and it is revealed by a person I and I addeh has become a victim of fellow women even though it is normally having to support each other empathy each other empathy,"The sad thing is that there are those who think that Via Vallen does not feel very harassed, instead he wants to ride prestige in order to achieve the viscosity and it is expressed by a woman fantastic, already a victim, fellow women too.Though normally must support each other, empathy.","The sad thing is that there are those who think that Via Vallen does not feel harassed, even want to go up in prestige in order to achieve the vitality and it is revealed by a woman, which is a victim of fellow women, even though it must normally support each other empathy each other",The sad thing is that there are those who think that Via Vallen does not feel that it is harassing it even wants to go up in order to achieve the viscosity and it is revealed by a person I and I addeh has become a victim of fellow women even though it is normally having to support each other empathy each other empathy,Error: 'Translator' object has no attribute 'raise_Exception',"The sad thing is that there are those who think that Via Vallen does not feel harassed, even want to go up in prestige in order to achieve the vitality and it is revealed by a woman, which is a victim of fellow women, even though it must normally support each other empathy each other"
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya,"yes, this human dog is excessive I see it","Yes, dogs, humans are fed up",Error: 'Translator' object has no attribute 'raise_Exception',"yes, this human dog is excessive I see it","Yes, dogs, humans are fed up",Error: 'Translator' object has no attribute 'raise_Exception'
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief","the same is already a thief, all the jancok or not the dog is or not the monkey is hahahahaha one heart with the thief !!!!","the same is already a thief, all of them are not jancok, the dog is not a monkey stealth haha ​​one heart with a thief",Error: 'Translator' object has no attribute 'raise_Exception',"the same is already a thief, all the jancok or not the dog is or not the monkey is hahahahaha one heart with the thief !!!!","the same is already a thief, all of them are not jancok, the dog is not a monkey stealth haha ​​one heart with a thief"
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief",Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',"samanye is already a thief, not all the jancok is not a dog, a monkey demon haha ​​one heart with a thief",Error: 'Translator' object has no attribute 'raise_Exception',"the same is already a thief, all of them are not jancok, the dog is not a monkey stealth haha ​​one heart with a thief"
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,orang berhijab baju natal norak anjing kalian sudah mnyambut di hotel wahai intel setan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang kalian pasang di kamar kerja sama dengan hotel tahi,JILBABER BAJU NATAL NORAK & ANJING-ANJING KALIAN SUDAH MENYAMBUT DI HOTEL WAHAI INTELSETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING!! INI SAJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORANG KEMANA PUN TAEKKKK!! ALAT TEROR BANGSAT LAGI-LAGI KALIAN PASANG DI KAMAR KERJASAMA DENGAN HOTEL TAEK!,orang berhijab baju natal norak anjing anjing kalian sudah menyambut di hotel wahai intelsetan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang sedang kalian pasang di kamar kerja sama dengan hotel tahi,"People wearing the hijab of your dog's tacky Christmas clothes have been welcomed at the hotel, O Apep devil apep Ahmad Tardiyana Urbane, this dog is just a pattern of intelligence you follow people wherever you are in the terrorist tool, you are installed in a workplace with the Tahi Hotel","Norak Christmas Jilbaber & Dogs You have welcomed at the hotel, O Intelligence [Username] [Username] Apep Ahmad Tardiyana Urbane Dog !!This is just the pattern of intelligence intelligence you follow people wherever taekkkk !!Terror tools for a bastard again you put in the collaboration room with the Taek Hotel!","People wearing a dog's tacky dog ​​hijab, your dog has welcomed at the hotel, Opesetan, Apep Ahmad Tardiyana Urbane, this dog is just a pattern of intelligence, you follow people wherever Tae K K is a bastard terrorist, you are installing in a workplace with the Tahi Hotel","People wearing the hijab of your dog's tacky Christmas clothes have been welcomed at the hotel, O Apep devil apep Ahmad Tardiyana Urbane, this dog is just a pattern of intelligence you follow people wherever you are in the terrorist tool, you are installed in a workplace with the Tahi Hotel",Error: 'Translator' object has no attribute 'raise_Exception',"People wearing a dog's tacky dog ​​hijab, your dog has welcomed at the hotel, Opesetan, Apep Ahmad Tardiyana Urbane, this dog is just a pattern of intelligence, you follow people wherever Tae K K is a bastard terrorist, you are installing in a workplace with the Tahi Hotel"
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh saya dipenuhi ketidak pastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup,"Semoga besok sudah ada pengumuman baik. Ya Allah, amin. Lancarkanlah segalanya benar-benar deh. Judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian. Huhuhu, benar-benar dari berbagai aspek bisa tenang aja ga sih ini hidup.",semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup,Hopefully tomorrow there will be a good announcement yes Allah Amen launched everything really really the title now I am filled with uncertainty and waiting huhuhu really from various aspects can be calm or not this is alive,"Hopefully tomorrow there will be a good announcement.O Allah, Amen.Load everything really.The title is now filled with uncertainty and waiting.Huhuhu, really from various aspects can be calm or not this is alive.","Hopefully tomorrow there will be a good announcement yes Allah Amen launch everything really really the title now has been filled with uncertainty and the wait huhuhu is really from various aspects can be calm, this is not alive",Hopefully tomorrow there will be a good announcement yes Allah Amen launched everything really really the title now I am filled with uncertainty and waiting huhuhu really from various aspects can be calm or not this is alive,"Hopefully tomorrow there will be a good announcement.O Allah, Amen.Load everything really.The title is now filled with uncertainty and waiting.Huhuhu, really from various aspects can be calm or not this is alive.","Hopefully tomorrow there will be a good announcement yes Allah Amen launch everything really really the title now has been filled with uncertainty and the wait huhuhu is really from various aspects can be calm, this is not alive"
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apa tek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat sama heart,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""apoteker"", ""apotek"", atau ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lebih senang kamu panggil ""sayang"", it warms my heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apoteker apotek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat my heart,"If the doctor is called the doc if the nurse is called Sus, if the pharmacist is Tek or Ker, yes, yes, I'm confused, I personally prefer you to call dear, it's warm with Heart","if the doctor is called ""doc"" - if the nurse is called ""sus"" - well if the pharmacist?""Pharmacists"", ""Pharmacy"", or ""Ker""?Yes, well, confused.I personally prefer you to call ""dear"", it warms my heart","If the doctor is called the doc, if the nurse is called Sus, if the pharmacist pharmacist pharmacist or ker yes, yes, yes, I'm confused, I personally feel like you're happy to call it warm my heart","If the doctor is called the doc if the nurse is called Sus, if the pharmacist is Tek or Ker, yes, yes, I'm confused, I personally prefer you to call dear, it's warm with Heart",Error: 'Translator' object has no attribute 'raise_Exception',"If the doctor is called the doc, if the nurse is called Sus, if the pharmacist pharmacist pharmacist or ker yes, yes, yes, I'm confused, I personally feel like you're happy to call it warm my heart"
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,kita semua mengaturkan kesuwun yang se tinggi nya kepada pak jokowi dan kabinet dengan kinerja yang super sangat untuk kemakmuran rakyat,Kita semua mengucapkan terima kasih yang setinggi-tingginya kepada Pak Jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat.,kita semua mengucapkan terima kasih yang setinggi tingginya kepada pak jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat,We all describe the Kesuwun who is high to Mr. Jokowi and the cabinet with super performance very for the prosperity of the people,Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception',We all describe the Kesuwun who is high to Mr. Jokowi and the cabinet with super performance very for the prosperity of the people,We all thank the highest gratitude to Mr. Jokowi and the cabinet with excellent performance for the prosperity of the people.,Error: 'Translator' object has no attribute 'raise_Exception'
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yang terlibat aksi penyelamatan. Benar-benar Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue,Hoping that someday will be filmed like the title The Coach Kids and everyone involved in the rescue action is truly Faith.,"Hoping someday will be filmed like ""The 33"".The title is ""The 13"" maybe.The Coach, Kids, and everyone involved in the rescue action.Really faith in humanity restored.Moved.#ThaicaveScue [URL]",Error: 'Translator' object has no attribute 'raise_Exception',Hoping that someday will be filmed like the title The Coach Kids and everyone involved in the rescue action is truly Faith.,"Hoping someday will be filmed like ""The 33"".The title is ""The 13"" maybe.The Coach, Kids, and everyone involved in the rescue action.Really faith in humanity restored.Moved.#ThaicaveScue [URL]",Hoping that someday will be filmed like the title The Coach Kids and everyone involved in the rescue action is truly Faith.
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakarkomunikasi neniyulianita dari ani dan teman teman akademisi selamat milad fikom_unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas,"Untuk para sahabat dan guru pakar komunikasi Neni Yulianita dari Ani dan teman-teman akademisi ""Selamat Milad FIKOM UNISBA ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakar komunikasi neni yulianita dari ani dan teman teman akademisi selamat milad fakultas ilmu komunikasi unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas,for friends and expert teachers Neniyulianita from Ani and Academic Friends Congratulations Milad Fikom_unisba to the Faculty of Communication Sciences Unisba graduates are getting more quality,"For friends and communication expert teachers Neni Yulianita from Ani and Academic friends ""Happy Milad Fikom Unisba 35"" hopefully Fikom Unisba graduates are getting more quality",Error: 'Translator' object has no attribute 'raise_Exception',for friends and expert teachers Neniyulianita from Ani and Academic Friends Congratulations Milad Fikom_unisba to the Faculty of Communication Sciences Unisba graduates are getting more quality,Error: 'Translator' object has no attribute 'raise_Exception',Error: 'Translator' object has no attribute 'raise_Exception'
